"day","host","pass_402","f502","f503","f410","f404","timeout","probes"
"2026-08-12","dnsdomain.hergertsynthora.com",81,0,0,0,0,,81
"2026-08-13","dnsdomain.hergertsynthora.com",70,0,0,0,0,,70
"2026-08-14","dnsdomain.hergertsynthora.com",66,0,0,0,0,,66
"2026-08-15","dnsdomain.hergertsynthora.com",64,0,0,0,0,,64
"2026-08-16","dnsdomain.hergertsynthora.com",64,0,0,0,0,,64
"2026-08-17","dnsdomain.hergertsynthora.com",58,0,0,0,0,,58
"2026-08-18","dnsdomain.hergertsynthora.com",37,0,0,0,0,,37
"2026-08-19","dnsdomain.hergertsynthora.com",23,0,0,0,0,,23
"2026-08-20","dnsdomain.hergertsynthora.com",52,0,0,0,0,,52
"2026-08-21","dnsdomain.hergertsynthora.com",54,0,0,0,0,,54
"2026-08-22","dnsdomain.hergertsynthora.com",55,0,0,0,0,,55
"2026-08-23","dnsdomain.hergertsynthora.com",52,0,0,0,0,3,55
"2026-08-24","dnsdomain.hergertsynthora.com",55,0,0,0,0,,55
"2026-08-25","dnsdomain.hergertsynthora.com",95,0,0,0,0,,95
"2026-08-26","dnsdomain.hergertsynthora.com",54,0,0,0,0,,54
"2026-08-27","dnsdomain.hergertsynthora.com",53,0,0,0,0,,53
"2026-08-28","dnsdomain.hergertsynthora.com",52,0,0,0,0,,52
"2026-08-29","dnsdomain.hergertsynthora.com",53,0,0,0,0,,53
"2026-08-30","dnsdomain.hergertsynthora.com",52,0,0,0,0,,52
"2026-08-31","dnsdomain.hergertsynthora.com",51,0,0,0,0,,51
"2026-09-01","dnsdomain.hergertsynthora.com",63,0,0,0,0,,63
"2026-09-02","dnsdomain.hergertsynthora.com",66,0,0,0,0,,66
"2026-09-03","dnsdomain.hergertsynthora.com",56,0,0,0,0,,56
"2026-09-04","dnsdomain.hergertsynthora.com",63,0,0,0,0,3,66
"2026-09-05","dnsdomain.hergertsynthora.com",61,0,0,0,0,,61
"2026-09-06","dnsdomain.hergertsynthora.com",43,0,0,0,0,,43
"2026-09-07","dnsdomain.hergertsynthora.com",46,0,0,0,0,,46
"2026-08-08","vape.juxtaposition1.deno.net",59,0,0,0,0,1,60
"2026-08-09","vape.juxtaposition1.deno.net",54,0,0,0,0,1,55
"2026-08-10","vape.juxtaposition1.deno.net",54,0,0,0,0,1,55
"2026-08-11","vape.juxtaposition1.deno.net",85,0,26,0,0,0,111
"2026-08-12","vape.juxtaposition1.deno.net",0,0,288,0,0,1,289
"2026-08-13","vape.juxtaposition1.deno.net",0,0,288,0,0,0,288
"2026-08-14","vape.juxtaposition1.deno.net",0,0,288,0,0,0,288
"2026-08-15","vape.juxtaposition1.deno.net",0,0,288,0,0,0,288
"2026-08-16","vape.juxtaposition1.deno.net",0,0,288,0,0,0,288
"2026-08-17","vape.juxtaposition1.deno.net",0,0,287,0,0,1,288
"2026-08-18","vape.juxtaposition1.deno.net",0,0,273,0,0,0,273
"2026-08-19","vape.juxtaposition1.deno.net",0,0,178,0,0,0,178
"2026-08-20","vape.juxtaposition1.deno.net",0,0,12,0,0,0,12
"2026-08-21","vape.juxtaposition1.deno.net",0,0,12,0,0,0,12
"2026-08-22","vape.juxtaposition1.deno.net",0,0,13,0,0,0,13
"2026-08-23","vape.juxtaposition1.deno.net",0,0,12,0,0,0,12
"2026-08-24","vape.juxtaposition1.deno.net",0,0,12,0,0,0,12
"2026-08-25","vape.juxtaposition1.deno.net",0,0,12,0,0,0,12
"2026-08-26","vape.juxtaposition1.deno.net",0,0,13,0,0,0,13
"2026-08-27","vape.juxtaposition1.deno.net",0,0,12,0,0,0,12
"2026-08-28","vape.juxtaposition1.deno.net",0,0,12,0,0,0,12
"2026-08-29","vape.juxtaposition1.deno.net",0,0,12,0,0,0,12
"2026-08-30","vape.juxtaposition1.deno.net",0,0,13,0,0,0,13
"2026-08-31","vape.juxtaposition1.deno.net",0,0,12,0,0,0,12
"2026-09-01","vape.juxtaposition1.deno.net",72,1,0,0,0,0,73
"2026-09-02","vape.juxtaposition1.deno.net",65,0,0,0,0,2,67
"2026-09-03","vape.juxtaposition1.deno.net",56,0,0,0,0,1,57
"2026-09-04","vape.juxtaposition1.deno.net",63,0,0,0,0,,63
"2026-09-05","vape.juxtaposition1.deno.net",60,0,0,0,0,,60
"2026-09-06","vape.juxtaposition1.deno.net",43,0,0,0,0,1,44
"2026-09-07","vape.juxtaposition1.deno.net",46,0,0,0,0,3,49
